,mkt_cap,beta,book_value,sector,eps,month_ago,year_ago,prev_date,analysis_date,trade_date,pred_date,volume
MTN,9941310464,0.9037639999999999,1666359000,Consumer Cyclical,7.438000423075055,221.6999969482422,279.47238159179693,248.72999572753903,246.94000244140625,247.1000061035156,246.5200042724609,227700.0
ED,28346662912,0.226044,17369000000,Utilities,4.367999689512138,87.26000213623047,76.14404296875,86.33999633789062,86.66000366210938,85.4000015258789,84.95999908447266,1147400.0
HIW,4653058560,0.761748,2159272000,Real Estate,1.2829999249533703,41.36999893188477,47.52021408081055,45.09000015258789,44.86000061035156,44.83000183105469,45.33000183105469,982500.0
CBSH,6620963328,0.838024,3023947000,Financial Services,3.753999882823845,58.83000183105469,65.07524871826172,60.59000015258789,60.22999954223633,60.77999877929688,60.83000183105469,452400.0
ES,24371968000,0.265538,11637434000,Utilities,3.3700001281135314,75.41000366210938,59.30803298950195,76.23999786376953,76.80999755859375,76.52999877929688,75.86000061035156,1039000.0
ADSK,35747549184,1.369299,-245300000,Technology,,165.25,135.11000061035156,167.99000549316406,162.77000427246094,160.2899932861328,156.1699981689453,1930100.0
SPB,2508918016,1.944062,1919100000,Consumer Defensive,19.24599899247476,52.11999893188477,84.7984848022461,52.2599983215332,51.45000076293945,51.5,50.11000061035156,233900.0
URBN,2295320064,0.791118,1447971000,Consumer Cyclical,2.664000013644046,23.13999938964844,47.540000915527344,23.29999923706055,23.43000030517578,23.54999923706055,23.809999465942386,1307700.0
INVH,14474002432,0.424,8139916000,Real Estate,0.06,26.53000068664551,23.31760025024414,27.3700008392334,27.56999969482422,27.76000022888184,27.46999931335449,3282600.0
IP,17891950592,1.358682,7482000000,Consumer Cyclical,3.9270001799984096,42.91999816894531,50.95341110229492,45.29999923706055,45.02999877929688,45.06000137329102,43.90999984741211,2188000.0
EXPE,20755593216,0.9861629999999999,4342000000,Consumer Cyclical,4.060999485429119,130.13999938964844,131.37643432617188,139.41999816894528,138.71000671386722,135.25,132.74000549316406,2162000.0
KO,230862864384,0.303754,18181000000,Consumer Defensive,1.6399998857862643,51.08000183105469,44.85373306274414,54.16999816894531,53.9900016784668,53.72000122070313,52.63000106811523,12283900.0
PCAR,24763914240,1.431566,9635400000,Industrials,6.788999997199336,70.69000244140625,60.96593856811523,71.66999816894531,71.51000213623047,70.97000122070312,70.13999938964844,1219000.0
AGNC,9553632256,0.17442,9635000000,Real Estate,,16.536882400512695,16.868310928344727,17.250274658203125,17.280000686645508,17.299999237060547,17.139999389648438,3323700.0
